program_name,round,best_program_size,best_executed_instructions,best_program_size_config,best_executed_instr_count_config
adj2csr.bril,3,112,55595,"{('main', 'randarray'): True, ('randarray', 'rand'): True, ('main', 'adj2csr'): True}","{('main', 'randarray'): True, ('main', 'printarray'): True, ('randarray', 'rand'): True, ('main', 'adj2csr'): True, ('main', 'zeroarray'): True}"
csrmv.bril,1,187,119736,"{('main', 'gen_uniform_csr'): True, ('main', 'csr_spmv'): True, ('main', 'gen_vec'): True}","{('rand', 'xor'): True, ('main', 'gen_uniform_csr'): True, ('main', 'csr_spmv'): True, ('main', 'print_arr'): True, ('gen_vec', 'mod'): True, ('main', 'gen_vec'): True, ('rand', 'getbit'): True, ('gen_uniform_csr', 'mod'): True, ('gen_vec', 'rand'): True, ('gen_uniform_csr', 'rand'): True}"
csrmv.bril,2,187,119736,"{('main', 'gen_uniform_csr'): True, ('main', 'csr_spmv'): True, ('main', 'gen_vec'): True}","{('rand', 'xor'): True, ('main', 'gen_uniform_csr'): True, ('main', 'csr_spmv'): True, ('main', 'print_arr'): True, ('gen_vec', 'mod'): True, ('main', 'gen_vec'): True, ('rand', 'getbit'): True, ('gen_uniform_csr', 'mod'): True, ('gen_vec', 'rand'): True, ('gen_uniform_csr', 'rand'): True}"
csrmv.bril,3,187,119736,"{('main', 'gen_uniform_csr'): True, ('main', 'csr_spmv'): True, ('main', 'gen_vec'): True}","{('rand', 'xor'): True, ('main', 'gen_uniform_csr'): True, ('main', 'csr_spmv'): True, ('main', 'print_arr'): True, ('gen_vec', 'mod'): True, ('main', 'gen_vec'): True, ('rand', 'getbit'): True, ('gen_uniform_csr', 'mod'): True, ('gen_vec', 'rand'): True, ('gen_uniform_csr', 'rand'): True}"
dot-product.bril,1,53,87,"{('main', 'dot_product'): True}","{('main', 'dot_product'): True}"
dot-product.bril,2,53,87,"{('main', 'dot_product'): True}","{('main', 'dot_product'): True}"
dot-product.bril,3,53,87,"{('main', 'dot_product'): True}","{('main', 'dot_product'): True}"
major-elm.bril,1,50,46,"{('main', 'create_arr'): True}","{('main', 'create_arr'): True}"
major-elm.bril,2,50,46,"{('main', 'create_arr'): True}","{('main', 'create_arr'): True}"
major-elm.bril,3,50,46,"{('main', 'create_arr'): True}","{('main', 'create_arr'): True}"
max-subarray.bril,1,58,192,"{('main', 'pack'): True}","{('main', 'pack'): True, ('main', 'max'): True}"
max-subarray.bril,2,58,192,"{('main', 'pack'): True}","{('main', 'pack'): True, ('main', 'max'): True}"
max-subarray.bril,3,58,192,"{('main', 'pack'): True}","{('main', 'pack'): True, ('main', 'max'): True}"
mat-mul.bril,1,101,1982896,"{('randarray', 'rand'): True, ('main', 'matmul'): True}","{('main', 'printarray'): True, ('main', 'randarray'): True, ('randarray', 'rand'): True, ('main', 'matmul'): True}"
mat-mul.bril,2,101,1982896,"{('randarray', 'rand'): True, ('main', 'matmul'): True}","{('main', 'printarray'): True, ('main', 'randarray'): True, ('randarray', 'rand'): True, ('main', 'matmul'): True}"
mat-mul.bril,3,101,1982896,"{('randarray', 'rand'): True, ('main', 'matmul'): True}","{('main', 'printarray'): True, ('main', 'randarray'): True, ('randarray', 'rand'): True, ('main', 'matmul'): True}"
fib.bril,1,30,120,"{}","{}"
fib.bril,2,30,120,"{}","{}"
fib.bril,3,30,120,"{}","{}"
vsmul.bril,1,44,81939,"{('main', 'randarray'): True, ('randarray', 'rand'): True}","{('main', 'randarray'): True, ('randarray', 'rand'): True}"
vsmul.bril,2,44,81939,"{('main', 'randarray'): True, ('randarray', 'rand'): True}","{('main', 'randarray'): True, ('randarray', 'rand'): True}"
vsmul.bril,3,44,81939,"{('main', 'randarray'): True, ('randarray', 'rand'): True}","{('main', 'randarray'): True, ('randarray', 'rand'): True}"
quicksort-hoare.bril,1,130,27233,"{('qsort', 'partition'): True, ('partition', 'median_of_three'): True, ('main', 'randarray'): True, ('randarray', 'rand'): True}","{('qsort', 'partition'): True, ('main', 'qsort'): True, ('main', 'randarray'): True, ('randarray', 'rand'): True, ('partition', 'swap'): True, ('main', 'is_nondecreasing'): True, ('median_of_three', 'swap'): True}"
quicksort-hoare.bril,2,130,27233,"{('qsort', 'partition'): True, ('partition', 'median_of_three'): True, ('main', 'randarray'): True, ('randarray', 'rand'): True}","{('qsort', 'partition'): True, ('main', 'qsort'): True, ('partition', 'median_of_three'): True, ('main', 'randarray'): True, ('randarray', 'rand'): True, ('partition', 'swap'): True, ('main', 'is_nondecreasing'): True, ('median_of_three', 'swap'): True}"
quicksort-hoare.bril,3,130,27233,"{('qsort', 'partition'): True, ('partition', 'median_of_three'): True, ('main', 'randarray'): True, ('randarray', 'rand'): True}","{('qsort', 'partition'): True, ('main', 'qsort'): True, ('partition', 'median_of_three'): True, ('main', 'randarray'): True, ('randarray', 'rand'): True, ('partition', 'swap'): True, ('main', 'is_nondecreasing'): True, ('median_of_three', 'swap'): True}"
quicksort.bril,1,80,253,"{('main', 'pack'): True, ('qsort', 'partition'): True, ('main', 'print_array'): True}","{('main', 'pack'): True, ('qsort', 'partition'): True, ('main', 'qsort'): True, ('main', 'print_array'): True}"
quicksort.bril,2,80,253,"{('main', 'pack'): True, ('qsort', 'partition'): True, ('main', 'print_array'): True}","{('main', 'pack'): True, ('qsort', 'partition'): True, ('main', 'qsort'): True, ('main', 'print_array'): True}"
quicksort.bril,3,80,253,"{('main', 'pack'): True, ('qsort', 'partition'): True, ('main', 'print_array'): True}","{('main', 'pack'): True, ('qsort', 'partition'): True, ('main', 'qsort'): True, ('main', 'print_array'): True}"
two-sum.bril,1,108,86,"{('main', 'initArr'): True}","{('main', 'twoSum'): True, ('main', 'initArr'): True}"
two-sum.bril,2,108,86,"{('main', 'initArr'): True}","{('main', 'twoSum'): True, ('main', 'initArr'): True}"
two-sum.bril,3,108,86,"{('main', 'initArr'): True}","{('main', 'twoSum'): True, ('main', 'initArr'): True}"
eight-queens.bril,1,62,928278,"{}","{('queen', 'valid'): True, ('main', 'queen'): True}"
eight-queens.bril,2,62,928278,"{}","{('queen', 'valid'): True, ('main', 'queen'): True}"
eight-queens.bril,3,62,928278,"{}","{('queen', 'valid'): True, ('main', 'queen'): True}"
binary-search.bril,1,58,66,"{('main', 'pack'): True}","{('main', 'pack'): True, ('main', 'binary_search'): True}"
binary-search.bril,2,58,66,"{('main', 'pack'): True}","{('main', 'pack'): True, ('main', 'binary_search'): True}"
binary-search.bril,3,58,66,"{('main', 'pack'): True}","{('main', 'pack'): True, ('main', 'binary_search'): True}"
